date,Pond,DIC,DOC,TIC,TOC
2022-01-13,ALC,40.94,5.995,41.3,5.868
2022-01-13,CAP,14.37,4.888,17.31,4.945
2022-01-13,DCSW1,47.44,4.086,48.04,3.912
2022-01-13,DCSW2,53.92,4.361,54.75,4.027
2022-01-13,DCSW3,19.52,4.239,22.12,4.127
2022-01-13,DOBA4,9.951,4.423,11.53,4.051
2022-01-13,DOBA5,13.54,6.597,14.66,5.874
2022-01-14,DOBA7,14.56,3.774,16.07,3.819
2022-01-14,DOBA8,22.12,3.94,23.66,3.763
2022-01-14,ELV,13.66,4.181,14.38,3.908
2022-01-12,HP-UW,81.54,1.404,83.32,1.359
2022-01-14,KP,26.92,9.109,44.54,10.7
2022-01-13,L60-UW,25.28,5.071,26.52,4.895
2022-01-12,LM-ARB,59.34,3.206,59.94,3.039
2022-01-14,MDT,16.22,3.957,19.57,3.628
2022-01-14,O-N,51.03,4.343,53.26,4.087
2022-01-14,O-S,43.18,5.104,44.12,5.1
2022-01-12,OPP-E,22.7,5.518,27.7,5.88
2022-01-12,OPP-W,19.28,5.246,28.12,4.598
2022-01-12,UM-ARB,61.36,3.922,65.44,3.677
2022-01-27,ALC,52.41,8.016,55.78,7.764
2022-01-27,CAP,16.88,6.224,23.68,6.34
2022-01-27,DCSW1,52.86,4.836,53.77,4.769
2022-01-27,DCSW2,58.52,4.599,63.56,5.2
2022-01-27,DCSW3,21.68,5.12,22.37,4.774
2022-01-27,DOBA4,13.88,4.985,20.81,5.853
2022-01-27,DOBA5,16.13,7.163,22.94,7.881
2022-01-31,DOBA7,19.36,5.002,21.69,5.323
2022-01-30,DOBA8,28.45,3.466,30.5,3.282
2022-01-30,ELV,13.93,4.076,18.79,4.414
2022-01-31,HP-UW,81.8,1.33,83.31,1.287
2022-01-30,KP,42.24,12.33,71.4,17.06
2022-01-31,L60-UW,29.74,5.712,35.79,5.752
2022-01-31,LM-ARB,78.81,2.717,82.96,2.894
2022-01-30,MDT,19.21,4.352,25.8,4.688
