date,pond,DOC
2021-06-08,ALC,9.028
2021-06-15,ALC,10.57
2021-07-21,ALC,8.317
2021-08-02,ALC,NA
2022-01-13,ALC,5.995
2022-01-27,ALC,8.016
2022-02-09,ALC,8.842
2021-06-07,CAP,6.062
2021-06-16,CAP,6.937
2021-07-16,CAP,5.386
2021-08-04,CAP,7.04
2022-01-13,CAP,4.888
2022-01-27,CAP,6.224
2022-02-09,CAP,7.084
2021-06-09,DCSW1,8.884
2021-06-21,DCSW1,7.348
2021-07-19,DCSW1,6.055
2021-08-04,DCSW1,6.628
2022-01-13,DCSW1,4.086
2022-01-27,DCSW1,4.836
2022-02-09,DCSW1,4.696
2021-06-09,DCSW2,8.113
2021-06-21,DCSW2,7.042
2021-07-19,DCSW2,5.837
2021-08-04,DCSW2,5.943
2022-01-13,DCSW2,4.361
2022-01-27,DCSW2,4.599
2022-02-09,DCSW2,5.07
2021-06-09,DCSW3,6.427
2021-06-21,DCSW3,6.425
2021-07-19,DCSW3,6.229
2021-08-04,DCSW3,6.433
2022-01-13,DCSW3,4.239
2022-01-27,DCSW3,5.12
2022-02-09,DCSW3,5.194
2021-06-07,DOBA4,6.333
2021-06-16,DOBA4,7.593
2021-07-16,DOBA4,4.929
2021-08-04,DOBA4,7.264
2022-01-13,DOBA4,4.423
2022-01-27,DOBA4,4.985
2022-02-09,DOBA4,6.317
2021-06-07,DOBA5,7.138
2021-06-16,DOBA5,11.96
2021-07-16,DOBA5,6.474
2021-08-04,DOBA5,10.08
2022-01-13,DOBA5,6.597
2022-01-27,DOBA5,7.163
2022-02-09,DOBA5,7.037
2021-06-02,DOBA7,6.019
2021-06-14,DOBA7,8.04
2021-07-12,DOBA7,6.053
2021-08-03,DOBA7,7.081
2022-01-14,DOBA7,3.774
2022-01-31,DOBA7,5.002
2022-02-11,DOBA7,4.762
2021-06-10,DOBA8,6.478
2021-06-17,DOBA8,6.891
2021-07-20,DOBA8,5.017
2021-08-05,DOBA8,6.616
2022-01-14,DOBA8,3.94
2022-01-30,DOBA8,3.466
2022-02-10,DOBA8,3.42
2021-06-08,ELV,6.537
2021-06-17,ELV,6.91
2021-07-20,ELV,5.675
2021-08-03,ELV,6.003
2022-01-14,ELV,4.181
2022-01-30,ELV,4.076
2022-02-10,ELV,4.265
2021-06-10,HP-UW,2.487
2021-06-18,HP-UW,3.281
2021-07-21,HP-UW,2.306
2021-08-05,HP-UW,2.192
2022-01-12,HP-UW,1.404
2022-01-31,HP-UW,1.33
2022-02-09,HP-UW,1.333
2021-06-11,KP,7.783
2021-06-22,KP,8.33
2021-07-14,KP,8.767
2021-08-03,KP,9.979
2022-01-14,KP,9.109
2022-01-30,KP,12.33
2022-02-10,KP,14.26
2021-06-11,L60-UW,9.813
2021-06-18,L60-UW,3.462
2021-07-13,L60-UW,7.797
2021-08-05,L60-UW,9.057
2022-01-13,L60-UW,5.071
2022-01-31,L60-UW,5.712
2022-02-09,L60-UW,5.683
2021-06-03,LM-ARB,7.239
2021-06-15,LM-ARB,8.882
2021-07-13,LM-ARB,6.444
2021-08-02,LM-ARB,6.756
2022-01-12,LM-ARB,3.206
2022-01-31,LM-ARB,2.717
2022-02-11,LM-ARB,2.755
2021-06-10,MDT,7.081
2021-06-17,MDT,8.073
2021-07-20,MDT,6.014
2021-08-05,MDT,6.024
2022-01-14,MDT,3.957
2022-01-30,MDT,4.352
2022-02-10,MDT,3.948
2021-06-11,O-N,5.109
2021-06-22,O-N,5.521
2021-07-14,O-N,5.218
2021-08-03,O-N,5.666
2022-01-14,O-N,4.343
2022-01-30,O-N,4.919
2022-02-10,O-N,4.274
2021-06-11,O-S,5.099
2021-06-22,O-S,5.081
2021-07-14,O-S,5.13
2021-08-03,O-S,5.239
2022-01-14,O-S,5.104
2022-01-30,O-S,5.657
2022-02-10,O-S,5.517
2021-06-02,OPP-E,7.322
2021-06-14,OPP-E,9.729
2021-07-12,OPP-E,8.601
2021-08-03,OPP-E,7.717
2022-01-12,OPP-E,5.518
2022-01-31,OPP-E,7.016
2022-02-11,OPP-E,6.813
2021-06-02,OPP-W,8.884
2021-06-14,OPP-W,12.4
2021-07-12,OPP-W,10.51
2021-08-03,OPP-W,11.58
2022-01-12,OPP-W,5.246
2022-01-31,OPP-W,5.46
2022-02-11,OPP-W,5.176
2021-06-03,UM-ARB,7.119
2021-06-15,UM-ARB,8.933
2021-07-13,UM-ARB,5.953
2021-08-02,UM-ARB,6.5
2022-01-12,UM-ARB,3.922
2022-01-31,UM-ARB,3.366
2022-02-11,UM-ARB,3.926
