sampledate,pond_name,pond,Zmax,AirTemp,Secchi_Down,Secchi_Up,Open,Emergent,Floating,Substrate,Submergent,Algae
6/2/21,Owen Park Pond East,OPP-E,1.5,24.2,0.3,0.28,96,0,0,0,15,0
6/2/21,Dobson A7 Pond,DOBA7,1.75,26.4,0.35,0.35,97,0,0,0,2,0
6/3/21,Manitow Lower pond,LM-ARB,0.4,23.8,0.35,0.3,95,0,0,0,0,0
6/3/21,Manitow Upper Pond,UM-ARB,0.98,23.2,0.3,0.25,90,5,0,0,0,0
6/7/21,Commercial Ave Pond,CAP,1.25,23.3,0.65,0.5,86,7,7,88,5,7
6/7/21,Dobson A4,DOBA4,1.65,26.5,0.15,0.1,63,15,22,100,0,0
6/7/21,DobsonA5,DOBA5,1.95,24.9,0.7,0.55,100,0,0,0,0,100
6/8/21,Elver Pond,ELV,3,25,0.75,0.6,95,2,3,0,0,0
6/9/21,Door county Storm Water 1,DCSW1,1.75,25,1.75,1.75,77,15,7,,100,1
6/9/21,Door county Storm Water 2,DCSW2,1.75,28,1.5,1.3,30,1,70,,90,75
6/9/21,Door county Storm Water 3,DCSW3,2,26.3,1.56,1.56,,0,,,80,
6/10/21,Dobson A8,DOBA8,1.85,25.6,1.25,1.1,99,0,1,0,0,3
6/10/21,Hospital Pond - UW,HP-UW,1.8,27.3,0.4,0.3,92,7,0,0,40,
6/11/21,Kettle Pond,KP,1.1,26.8,0.4,0.3,1,30,0,99,0,40
6/11/21,Orchid South,O-S,1.1,26.6,0.6,0.5,94,5,2,,20,21
6/11/21,Orchid North,O-N,1.15,31.7,0.3,0.25,99,1,1,0,0,3
6/11/21,Lot 60 - UW,L60-UW,1.15,27.2,0.9,0.9,5,40,55,0,90,0
6/14/21,Dobson A7 Pond,DOBA7,1.48,20.9,0.4,0.3,100,0,0,95,0,1
6/14/21,Owen Park Pond - West,OPP-W,2.5,23,0.3,0.25,70,30,0,0,1,0
6/14/21,Owen Park Pond - East,OPP-E,1.3,21.7,0.4,0.3,95,0,5,88,12,0
6/15/21,Allient center Pond,ALC,0.75,24.3,0.55,0.5,10,5,85,,30,70
6/15/21,Lower Manitow Pond,LM-ARB,0.64,18.5,0.2,0.15,95,0,1,1,1,0
6/15/21,Upper Manitow Pond,UM-ARB,1.2,21.4,0.15,0.12,97,3,0,1,0,0
6/16/21,Dobson A5,DOBA5,2.15,21.2,0.35,0.32,100,0,0,0,0,100
6/16/21,Dobson A4,DOBA4,1.5,19.4,0.4,0.3,70,30,0,78,20,2
6/16/21,Commercial Ave Pond,CAP,1.2,22.5,0.35,0.3,75,0,25,93,5,2
