pond,Floating,Algae,Emergent
ALC,40,39.666666666666664,15
CAP,68.33333333333333,8.333333333333334,21.666666666666668
DCSW1,5.666666666666667,20,23.333333333333332
DCSW2,35,35,5
DCSW3,11.666666666666666,35,15
DOBA4,40,0,26.666666666666668
DOBA5,0,66,0
DOBA7,30,0,0
DOBA8,6.666666666666667,9,3.3333333333333335
ELV,8.5,7.5,15
HP-UW,5,15,0
KP,76.66666666666667,5.5,16
L60-UW,47.5,5,46.25
LM-ARB,0,2,0
MDT,15,11.666666666666666,11.666666666666666
O-N,2.3333333333333335,0.3333333333333333,0
O-S,14,20,0
OPP-E,12.5,1,0
OPP-W,40,0,10
UM-ARB,0,5,20
