pond,DATE,season,wtr,layer,Depth
ALC,2021-06-08,summer,23.8,bottom,0.5
ALC,2021-06-15,summer,21.9,bottom,0.75
ALC,2021-07-02,summer,22.2,bottom,0.75
ALC,2021-07-08,summer,20.7,bottom,0.5
ALC,2021-07-21,summer,21.4,bottom,0.75
ALC,2021-07-27,summer,22.4,bottom,0.75
ALC,2021-08-03,summer,19.4,bottom,0.75
ALC,2022-01-13,winter,2.9,bottom,0.5
ALC,2022-01-27,winter,2.5,bottom,0.75
ALC,2022-02-09,winter,1.6,bottom,0.75
CAP,2021-06-07,summer,26.1,bottom,1
CAP,2021-06-16,summer,24.9,bottom,1
CAP,2021-07-01,summer,24.4,bottom,1.25
CAP,2021-07-08,summer,23.4,bottom,1.25
CAP,2021-07-16,summer,22.1,bottom,1.75
CAP,2021-07-29,summer,24.5,bottom,1
CAP,2021-08-04,summer,22.7,bottom,1.25
CAP,2022-01-13,winter,3.6,bottom,1
CAP,2022-01-27,winter,3,bottom,1.25
CAP,2022-02-09,winter,2,bottom,1
DCSW1,2021-06-09,summer,15.7,bottom,1.5
DCSW1,2021-06-21,summer,19.5,bottom,1.75
DCSW1,2021-07-01,summer,18.6,bottom,2
DCSW1,2021-07-09,summer,20.2,bottom,2
DCSW1,2021-07-19,summer,23.4,bottom,1.75
DCSW1,2021-07-29,summer,23,bottom,2
DCSW1,2021-08-04,summer,23.2,bottom,1.75
DCSW1,2022-01-13,winter,3.7,bottom,2
DCSW1,2022-01-27,winter,3.7,bottom,1.75
DCSW1,2022-02-09,winter,3.5,bottom,1.75
DCSW2,2021-06-09,summer,14.3,bottom,1.5
DCSW2,2021-06-21,summer,20.1,bottom,1.5
DCSW2,2021-07-01,summer,22.4,bottom,1.5
DCSW2,2021-07-09,summer,21.4,bottom,1.75
DCSW2,2021-07-19,summer,22.1,bottom,1.5
DCSW2,2021-07-29,summer,24.1,bottom,1.75
DCSW2,2021-08-04,summer,22.5,bottom,1.25
DCSW2,2022-01-13,winter,4.2,bottom,1
DCSW2,2022-01-27,winter,3.5,bottom,1.25
DCSW2,2022-02-09,winter,2.9,bottom,1
DCSW3,2021-06-09,summer,17,bottom,1.75
DCSW3,2021-06-21,summer,19.5,bottom,2
DCSW3,2021-07-01,summer,22.1,bottom,1.75
DCSW3,2021-07-09,summer,22.4,bottom,1.75
DCSW3,2021-07-19,summer,21.5,bottom,2
DCSW3,2021-07-29,summer,23.9,bottom,1.5
DCSW3,2021-08-04,summer,22.8,bottom,2
DCSW3,2022-01-13,winter,3.5,bottom,1.25
DCSW3,2022-01-27,winter,3.1,bottom,1
DCSW3,2022-02-09,winter,2.8,bottom,1.25
DOBA4,2021-06-07,summer,18.8,bottom,1.5
DOBA4,2021-06-16,summer,22.9,bottom,1.25
DOBA4,2021-07-01,summer,22.1,bottom,1.5
DOBA4,2021-07-09,summer,21.4,bottom,1.5
DOBA4,2021-07-16,summer,21.8,bottom,1.5
DOBA4,2021-07-29,summer,23.9,bottom,1.5
DOBA4,2021-08-04,summer,21.3,bottom,1.73
DOBA4,2022-01-13,winter,3.5,bottom,1.25
DOBA4,2022-01-27,winter,3.5,bottom,1.5
DOBA4,2022-02-09,winter,3.5,bottom,1.5
DOBA5,2021-06-07,summer,17.1,bottom,1.75
DOBA5,2021-06-16,summer,17.2,bottom,2
DOBA5,2021-07-01,summer,19.5,bottom,2
DOBA5,2021-07-08,summer,23.8,bottom,1.75
DOBA5,2021-07-16,summer,22.5,bottom,2
DOBA5,2021-07-29,summer,23.7,bottom,1.75
DOBA5,2021-08-04,summer,21.6,bottom,2
DOBA5,2022-01-13,winter,4,bottom,2
DOBA5,2022-01-27,winter,4.6,bottom,2
DOBA5,2022-02-09,winter,4.2,bottom,2
DOBA7,2021-06-02,summer,13.5,bottom,1.5
DOBA7,2021-06-14,summer,24.4,bottom,1.25
DOBA7,2021-06-29,summer,23.9,bottom,2
DOBA7,2021-07-07,summer,26.5,bottom,1.5
DOBA7,2021-07-12,summer,22.4,bottom,1.75
DOBA7,2021-07-27,summer,25.1,bottom,1.5
DOBA7,2021-08-03,summer,22.9,bottom,1.25
DOBA7,2022-01-14,winter,4.5,bottom,1.75
DOBA7,2022-01-31,winter,5.3,bottom,1.5
DOBA7,2022-02-11,winter,4.2,bottom,1.5
DOBA8,2021-06-10,summer,18.5,bottom,1.75
DOBA8,2021-06-17,summer,23.2,bottom,1.75
DOBA8,2021-06-30,summer,20.8,bottom,2
DOBA8,2021-07-08,summer,24.2,bottom,2
DOBA8,2021-07-20,summer,21.2,bottom,2
DOBA8,2021-07-26,summer,23.7,bottom,1.75
DOBA8,2021-08-05,summer,22.4,bottom,2
DOBA8,2022-01-14,winter,5.8,bottom,2
DOBA8,2022-01-30,winter,4.8,bottom,1.75
DOBA8,2022-02-10,winter,4.7,bottom,1.75
ELV,2021-06-08,summer,14.6,bottom,2.75
ELV,2021-06-17,summer,19.1,bottom,2.5
ELV,2021-06-30,summer,21.6,bottom,2.75
ELV,2021-07-08,summer,20.1,bottom,3
ELV,2021-07-20,summer,20.6,bottom,3
ELV,2021-07-26,summer,20.7,bottom,3
ELV,2021-08-03,summer,22.3,bottom,3.25
ELV,2022-01-14,winter,3.9,bottom,3
ELV,2022-01-30,winter,3.9,bottom,3
