sampledate,pond_id,openwater,emergent,floating,substrate,submergent,algae,Emergent Type,Floating Type,Submergent Type,Algae Type
2021-06-02,DOBA7,97,0,0,0,2,0,,,curly pondweed,
2021-06-02,OPP-E,96,0,1,0,15,0,,lily pads,coontail,
2021-06-03,LM-ARB,95,1,0,0,0,0,"pickerelweed, common water hyacinth",duckweed,,
2021-06-03,UM-ARB,90,5,0,0,0,0,"pickerelweed, common water hyacinth",,,
2021-06-07,CAP,86,7,7,88,5,7,broadleaf cattail,"duckweed, common watermeal",horned pond weed,unknown (likely green filamentous)
2021-06-07,DOBA4,63,15,22,100,0,0,"simplestem burr reed, iris, broadleaf arrow head, junus",long leaf pond weed,,
2021-06-07,DOBA5,100,0,0,0,0,100,,,,unknown (likely filamentous)
2021-06-08,ALC,95,5,0,0,0,10,"broadleaf arrow head, cattails","duckweed, common watermeal","coontail, western waterweed, horned pond weed",unknown (likely filamentous)
2021-06-08,ELV,95,2,3,0,0,0,"braodleaf arrow head, lakeshore bullrush",pondweed,,
2021-06-09,DCSW1,77,15,7,0,100,1,"broadleaf arrow head, cattails, juncus/bullrush",duckweed,curly leaf pondweed,unknown (likely filamentous)
2021-06-09,DCSW2,30,1,70,0,90,75,juncus,duckweed,"coontail, cury leaf pondweed, eurasian watermilfoil",
2021-06-09,DCSW3,20,0,0,0,80,0,"broad leaf cattail, juncus",duckweed,"eurasian milfoil, curly leaf pond weed, horned pond weed",
2021-06-10,DOBA8,99,0,1,0,0,3,,pondweed,,bluegreen mats
2021-06-10,HP-UW,92,7,0,0,40,0,broadleaf cattail,duckweed,"coontail, pondweed, curl leaf pondweed",
2021-06-10,MDT,99,1,0,0,2,10,"braodleaf cattail, juncus/bullrush",pondweed,coontail,
2021-06-11,KP,1,30,0,99,0,40,broadleaf cattail,"duckweed, common watermeal, white water lily",,blue green
2021-06-11,L60-UW,5,40,55,0,90,0,"juncus, cattails, pickerelweed","duckweed, common watermeal","coontail, horned pondweed",
2021-06-11,O-N,99,1,1,0,0,3,juncus/bullrush,duckweed,"pondweed, coontail, horned pondweed",green (filamentous)
2021-06-11,O-S,94,5,2,0,20,21,"juncus/bullrush, broadleaf catail","pondweed, duckweed","coontail, horned pondweed",
2021-06-14,DOBA7,100,0,0,95,5,1,,,curly pondweed,green
2021-06-14,OPP-E,95,0,5,88,12,0,,white water lily,coontail,
2021-06-14,OPP-W,70,30,0,0,1,0,,lily pad,coontail,
2021-06-15,ALC,10,5,85,0,30,70,braodleaf cattail,"duckweed, common watermeal","horned pondweed, coontail, waterweed","brownish algae, green algae"
2021-06-15,LM-ARB,95,0,1,1,1,0,,duckweed,coontail,
2021-06-15,UM-ARB,97,3,0,1,0,0,"pickerelweed, calamus, braodlead arrowhead",,coontail,
2021-06-16,CAP,75,0,25,93,5,2,,"duckweed, common watermeal",horned pondweed,filamentous algae
2021-06-16,DOBA4,70,30,0,78,20,2,"juncus, broadleaf arrowhead, broadleaf cattail",pondweed,,filimentous green algae
2021-06-16,DOBA5,100,0,0,0,0,100,,,,"blue green algae mats, green suspended algae"
2021-06-17,DOBA8,97,0,3,0,0,2,,pondweed,,blue green algae mats
