pond,water_depth_m
LM-ARB,0.4
LM-ARB,
UM-ARB,0.98
UM-ARB,
UM-ARB,
UM-ARB,
OPP-W,2.25
OPP-W,
OPP-W,
OPP-W,
OPP-W,
OPP-W,
OPP-W,
OPP-W,
OPP-W,
OPP-E,1.5
OPP-E,
OPP-E,
OPP-E,
OPP-E,
DOBA7,1.75
DOBA7,
DOBA7,
DOBA7,
DOBA7,
DOBA7,
DOBA7,
CAP,1.25
CAP,
CAP,
CAP,
CAP,
DOBA4,1.65
DOBA4,
DOBA4,
DOBA4,
DOBA4,
DOBA4,
DOBA4,
DOBA5,1.95
DOBA5,
DOBA5,
DOBA5,
DOBA5,
DOBA5,
DOBA5,
DOBA5,
ALC,0.8
ALC,
ALC,
ELV,3
ELV,
ELV,
ELV,
ELV,
ELV,
ELV,
ELV,
ELV,
ELV,
ELV,
ELV,
DCSW1,1.75
DCSW1,
DCSW1,
DCSW1,
DCSW1,
DCSW1,
DCSW1,
DCSW2,1.75
DCSW2,
DCSW2,
DCSW2,
DCSW2,
DCSW2,
DCSW2,
DCSW3,2
DCSW3,
DCSW3,
DCSW3,
DCSW3,
DCSW3,
DCSW3,
DCSW3,
MDT,1.4
MDT,
MDT,
MDT,
MDT,
MDT,
DOBA8,1.85
DOBA8,
DOBA8,
DOBA8,
DOBA8,
DOBA8,
DOBA8,
DOBA8,
HP-UW,1.8
HP-UW,
HP-UW,
HP-UW,
HP-UW,
HP-UW,
HP-UW,
HP-UW,
KP,1.1
KP,
KP,
KP,
O-S,1.1
O-S,
O-S,
O-S,
O-S,
O-N,1.15
O-N,
O-N,
O-N,
O-N,
L60-UW,1.25
L60-UW,
L60-UW,
L60-UW,
L60-UW,
DOBA7,1.48
DOBA7,
DOBA7,
DOBA7,
DOBA7,
DOBA7,
OPP-W,2.5
OPP-W,
OPP-W,
OPP-W,
OPP-W,
OPP-W,
OPP-W,
OPP-W,
OPP-W,
OPP-W,
OPP-E,1.3
OPP-E,
OPP-E,
OPP-E,
OPP-E,
OPP-E,
ALC,0.76
ALC,
ALC,
ALC,
LM-ARB,0.65
LM-ARB,
LM-ARB,
UM-ARB,1.2
UM-ARB,
UM-ARB,
UM-ARB,
UM-ARB,
DOBA5,2.15
DOBA5,
DOBA5,
DOBA5,
DOBA5,
DOBA5,
DOBA5,
DOBA5,
DOBA5,
DOBA4,1.5
DOBA4,
DOBA4,
DOBA4,
DOBA4,
DOBA4,
CAP,1.2
CAP,
CAP,
CAP,
CAP,
DOBA8,1.95
DOBA8,
DOBA8,
DOBA8,
DOBA8,
DOBA8,
DOBA8,
DOBA8,
MDT,1.3
MDT,
MDT,
MDT,
MDT,
MDT,
ELV,2.5
ELV,
ELV,
ELV,
ELV,
ELV,
ELV,
ELV,
ELV,
ELV,
ELV,
HP-UW,1.88
HP-UW,
HP-UW,
HP-UW,
HP-UW,
HP-UW,
HP-UW,
HP-UW,
L60-UW,1.25
L60-UW,
L60-UW,
L60-UW,
L60-UW,
L60-UW,
DCSW3,2.26
DCSW3,
DCSW3,
DCSW3,
DCSW3,
DCSW3,
DCSW3,
DCSW3,
DCSW3,
DCSW2,1.73
DCSW2,
DCSW2,
DCSW2,
DCSW2,
DCSW2,
DCSW2,
DCSW1,1.98
DCSW1,
DCSW1,
DCSW1,
DCSW1,
DCSW1,
DCSW1,
DCSW1,
KP,1.25
KP,
KP,
KP,
KP,
O-S,1.2
O-S,
O-S,
O-S,
O-S,
O-N,1.15
O-N,
O-N,
O-N,
O-N,
OPP-W,2.75
OPP-W,
OPP-W,
OPP-W,
OPP-W,
OPP-W,
OPP-W,
OPP-W,
OPP-W,
OPP-W,
OPP-W,
HP-UW,2.1
HP-UW,
HP-UW,
HP-UW,
HP-UW,
HP-UW,
HP-UW,
HP-UW,
OPP-E,2
OPP-E,
OPP-E,
OPP-E,
OPP-E,
OPP-E,
OPP-E,
OPP-E,
DOBA7,2.1
DOBA7,
DOBA7,
DOBA7,
DOBA7,
DOBA7,
DOBA7,
DOBA7,
DOBA7,
DOBA8,2.3
DOBA8,
DOBA8,
DOBA8,
DOBA8,
DOBA8,
DOBA8,
DOBA8,
DOBA8,
ELV,3
ELV,
ELV,
ELV,
ELV,
ELV,
ELV,
ELV,
ELV,
ELV,
ELV,
ELV,
MDT,1.75
MDT,
MDT,
MDT,
MDT,
MDT,
MDT,
UM-ARB,0.85
UM-ARB,
UM-ARB,
UM-ARB,
LM-ARB,0.98
LM-ARB,
LM-ARB,
LM-ARB,
DCSW2,1.7
DCSW2,
DCSW2,
DCSW2,
DCSW2,
DCSW2,
DCSW2,
DOBA5,2.1
DOBA5,
DOBA5,
DOBA5,
DOBA5,
DOBA5,
DOBA5,
DOBA5,
DOBA5,
DCSW3,2
DCSW3,
DCSW3,
DCSW3,
DCSW3,
DCSW3,
DCSW3,
DCSW3,
DOBA4,1.6
DOBA4,
DOBA4,
DOBA4,
DOBA4,
DOBA4,
DOBA4,
CAP,1.5
CAP,
CAP,
CAP,
CAP,
CAP,
DCSW1,2.2
DCSW1,
DCSW1,
DCSW1,
DCSW1,
DCSW1,
DCSW1,
DCSW1,
DCSW1,
DOBA5,2.1
DOBA5,
DOBA5,
DOBA5,
DOBA5,
DOBA5,
DOBA5,
DOBA5,
DOBA5,
O-N,1.2
O-N,
O-N,
O-N,
O-N,
O-S,1.2
O-S,
O-S,
O-S,
O-S,
KP,1.15
KP,
KP,
KP,
KP,
L60-UW,1.15
L60-UW,
L60-UW,
L60-UW,
L60-UW,
ALC,0.78
ALC,
ALC,
ALC,
OPP-E,1.75
OPP-E,
OPP-E,
OPP-E,
OPP-E,
OPP-E,
OPP-E,
OPP-W,1.75
OPP-W,
OPP-W,
OPP-W,
OPP-W,
OPP-W,
OPP-W,
O-S,1.15
O-S,
O-S,
O-S,
O-S,
O-N,1.15
O-N,
O-N,
O-N,
O-N,
HP-UW,1.65
HP-UW,
HP-UW,
HP-UW,
HP-UW,
HP-UW,
HP-UW,
L60-UW,1.1
L60-UW,
L60-UW,
L60-UW,
L60-UW,
KP,1.25
KP,
KP,
KP,
KP,
DOBA7,1.6
DOBA7,
DOBA7,
