pond,season,bottom_do,densGrad,RTRM,zmax_m,chloride_mgL,sulfate_mgL,secchi_m,TSS_gL,POM_gL,OM_perc,DOC,DIC,chla,co2,ch4
ALC,summer,24.71428571,0.356,42.54757143,NA,236.44,2.116,0.5,0.0144,0.0098,67.36,9.0418,21.79,30.98,41.045,5.58825
ALC,winter,17.26666667,0.068333333,8.115333333,0.79,371.37,6.57,0.6,0.018,0.010666667,69.79,7.617666667,51.65333333,25.23333333,410.4443333,47.237
CAP,summer,17.88571429,0.423428571,50.25128571,NA,27.46,2.118,0.6,0.007333333,0.005833333,74.97333333,5.9894,13.4404,16.15,138.65,12.21575
CAP,winter,5.166666667,0.040666667,4.555666667,1.392,63.2,3.153333333,0.4,0.021,0.018666667,90.97666667,6.065333333,16.75,267.7666667,335.111,41.31433333
DCSW1,summer,8.828571429,0.931571429,112.6027143,NA,26.492,3.762,1.3,0.003666667,0.002666667,76.00666667,6.8398,19.716,9.566666667,30.37275,2.08375
DCSW1,winter,40.63333333,0.033,3.721333333,1.916,45.39,12.82666667,1.7,0.002,0.001,57.40333333,4.539333333,52.49,6.133333333,192.3223333,1.050666667
DCSW2,summer,10.51428571,0.751285714,90.71328571,NA,44.788,8.348,0.8,0.009,0.006166667,68.14833333,6.4564,27.774,42.6,44.56175,7.59875
DCSW2,winter,33.7,0.061,6.85,1.692,52.09666667,14.34666667,1.2,0.006,0.005333333,87.44666667,4.676666667,59.43666667,58.7,183.4556667,16.68433333
DCSW3,summer,14.65714286,0.841285714,102.4898571,NA,45.672,7.316,1.2,0.005666667,0.004333333,75.62333333,6.1616,25.406,9.916666667,44.10525,6.085
DCSW3,winter,53.96666667,0.056333333,6.499333333,2.1,10.44666667,5.836666667,1.2,0.004,0.002666667,61.05666667,4.851,21.61666667,25.96666667,53.41133333,1.295
DOBA4,summer,14.55714286,0.695142857,84.275,NA,28.556,2.014,0.3,0.031333333,0.023833333,75.50666667,5.9404,8.3998,74.95,44.08125,0.65
