pond,DATE,season,Bottom_Temp,Bottom_Cond,Bottom_DOmgL,Bottom_DO,Depth,Top_Temp,Top_Cond,Top_DOmgL,Top_DO,diffCond,diffTemp
ALC,2021-06-08,summer,23.8,1385,2.36,28,0.5,24.2,1349,5.42,64.2,-36,0.3999999999999986
ALC,2021-06-15,summer,21.9,1519,3.72,42.8,0.75,27.1,1625,12.95,162.4,106,5.200000000000003
ALC,2021-07-02,summer,22.2,704,0.33,3.8,0.75,24.1,681,1.86,57.9,-23,1.9000000000000021
ALC,2021-07-08,summer,20.7,844,3.26,36.5,0.5,21.4,843,12.07,136.5,-1,0.6999999999999993
ALC,2021-07-21,summer,21.4,772,0.17,2,0.75,22.1,708,3.64,41.7,-64,0.7000000000000028
ALC,2021-07-27,summer,22.4,867,1.5,17.4,0.75,22.8,850,3.55,41.2,-17,0.40000000000000213
ALC,2021-08-02,summer,19.4,839,3.9,42.5,0.75,20.3,849,3.02,33.2,10,0.9000000000000021
ALC,2022-01-13,winter,2.9,1368,2.23,46.9,0.5,0.8,1206,6.76,47.7,-162,-2.0999999999999996
ALC,2022-01-27,winter,2.5,1460,0.31,2.4,0.75,0.7,704,3.31,23.1,-756,-1.8
ALC,2022-02-09,winter,1.6,2204,0.34,2.5,0.75,0.5,2012,1.13,8.3,-192,-1.1
CAP,2021-06-07,summer,26.1,348.3,2.61,32.1,1,26.2,350.2,3.16,39.2,1.8999999999999773,0.09999999999999787
CAP,2021-06-16,summer,24.9,365.5,6.71,81,1,25.8,372.8,6.04,74.3,7.300000000000011,0.9000000000000021
CAP,2021-07-01,summer,24.4,114.8,0.7,8.7,1.25,28.1,102.2,5.5,70.4,-12.599999999999994,3.700000000000003
CAP,2021-07-08,summer,23.4,115.2,0.06,0.8,1.25,23.5,112.7,0.36,4.3,-2.5,0.10000000000000142
CAP,2021-07-16,summer,22.1,143.8,0.07,0.8,1.75,23.3,105.4,2.25,26.4,-38.400000000000006,1.1999999999999993
CAP,2021-07-29,summer,24.5,94.4,0.06,0.7,1,27.3,108.7,2.92,36.5,14.299999999999997,2.8000000000000007
CAP,2021-08-04,summer,22.7,132,0.09,1.1,1.25,25.1,126.8,1.81,21.9,-5.200000000000003,2.400000000000002
CAP,2022-01-13,winter,3.6,184.4,0.64,4.8,1,2.6,171.9,5.1,39.1,-12.5,-1
CAP,2022-01-27,winter,3,242.3,0.29,2.2,1.25,1.3,228.4,1.46,10.4,-13.900000000000006,-1.7
