pond,Bottom_DO_winter,Top_DO_winter,diffDO_winter,densGrad_winter,RTRM_winter,chloride_mgL_winter,sulfate_mgL_winter,secchi_m_winter,TSS_gL_winter,POM_gL_winter,OM_perc_winter,DOC_winter,DIC_winter,co2_winter,ch4_winter,srp_winter,chla_winter,whiteice
ALC,17.266666666666666,26.366666666666667,9.100000000000003,0.06833333333333333,8.115333333333334,371.37,6.57,0.5666666666666667,0.018000000000000002,0.010666666666666666,69.79,7.617666666666667,51.65333333333333,410.4443333333333,47.237,5.725666666666666,36.7,4.75
CAP,5.166666666666667,22.533333333333335,17.366666666666667,0.040666666666666663,4.555666666666667,63.2,3.1533333333333333,0.35,0.021,0.018666666666666665,90.97666666666667,6.065333333333333,16.75,335.111,41.31433333333333,108.636,339.1,3.5
DCSW1,40.63333333333333,63.666666666666664,23.03333333333333,0.033,3.7213333333333334,45.39,12.826666666666666,1.65,0.002,0.001,57.403333333333336,4.5393333333333334,52.49,192.32233333333335,1.0506666666666666,3.646333333333333,6.35,3.5
DCSW2,33.7,70.13333333333333,36.43333333333334,0.061,6.85,52.096666666666664,14.346666666666666,1.2166666666666666,0.006,0.005333333333333333,87.44666666666667,4.676666666666667,59.43666666666667,183.45566666666667,16.684333333333335,9.330666666666668,71.5,4
DCSW3,53.96666666666667,73.96666666666667,19.999999999999996,0.05633333333333333,6.499333333333333,10.446666666666667,5.836666666666667,1.2166666666666666,0.004,0.0026666666666666666,61.056666666666665,4.851,21.616666666666667,53.41133333333334,1.295,7.207000000000001,20.8,3.75
DOBA4,12.066666666666666,77.23333333333333,65.16666666666667,0.053,6.032,23.983333333333334,2.0766666666666667,0.2733333333333333,0.036333333333333336,0.03066666666666667,85.24666666666667,5.241666666666667,13.320333333333334,139.11133333333333,4.983333333333333,28.709666666666667,693,3.25
DOBA5,2.1333333333333333,25.96666666666667,23.833333333333336,0.03966666666666667,3.720666666666667,21.79,2.03,0.4666666666666667,0.019,0.017,90.21666666666667,6.932333333333333,15.593333333333332,179.47233333333335,25.608666666666668,75.27733333333333,242.2,4.5
DOBA7,14.166666666666668,83.23333333333333,69.06666666666666,0.08766666666666667,10.063333333333333,289.40633333333335,6.663333333333333,0.48333333333333334,0.006666666666666667,0.006,85.26,4.512666666666666,17.793333333333333,82.45133333333334,66.35633333333334,4.0456666666666665,40.95,5.5
DOBA8,2.3666666666666667,29.8,27.433333333333334,0.034999999999999996,2.1693333333333333,20.686666666666667,4.623333333333333,1.1333333333333333,0.0026666666666666666,0.0023333333333333335,90.86666666666666,3.6086666666666667,27.016666666666666,253.33333333333331,6.6979999999999995,28.413333333333334,7.2,4
ELV,29.6,89.16666666666667,59.56666666666667,0.104,12.635333333333334,27.08,3.5633333333333335,0.4,0.007333333333333333,0.006,78.78666666666666,4.1739999999999995,13.88,29.177999999999997,16.389,16.923666666666666,173.64999999999998,4.65
HP-UW,118.3,110.93333333333334,-7.36666666666666,0.016666666666666666,1.2566666666666668,343.07,40.88666666666667,1.4833333333333334,0.0023333333333333335,0.0013333333333333333,56.36,1.3556666666666666,81.06333333333333,120.26666666666667,3.1886666666666668,0.9366666666666666,6.15,0.25
KP,4,26.066666666666666,22.066666666666666,0.05866666666666666,5.635666666666666,41.15333333333333,1.0333333333333334,0.11666666666666667,0.14733333333333332,0.05266666666666667,36.54,11.899666666666667,40.333333333333336,2396.6666666666665,690.7776666666666,29.493666666666666,382.25,6
L60-UW,14.433333333333334,31.066666666666666,16.633333333333333,0.028666666666666667,3.014666666666667,91.46666666666667,4.5600000000000005,0.48333333333333334,0.018,0.012333333333333333,63.843333333333334,5.488666666666666,29.06,518.7776666666666,49.011,8.081666666666667,100.75,3.75
LM-ARB,26.900000000000002,43.333333333333336,16.433333333333334,0.022333333333333334,1.784,144.06333333333333,19.646666666666665,0.5166666666666666,0.008,0.005333333333333333,69.17666666666666,2.8926666666666665,71.23,518.333,12.775666666666666,7.808666666666666,29.35,19
MDT,67.3,89.16666666666667,21.86666666666667,0.06066666666666667,6.7620000000000005,28.580000000000002,3.7266666666666666,0.43333333333333335,0.016666666666666666,0.014666666666666666,86.69,4.085666666666667,18.683333333333334,80.358,0.5273333333333333,19.085333333333335,204.9,5.25
O-N,137.03333333333333,133.9,-3.1333333333333258,0.05466666666666667,6.4143333333333334,57.11333333333334,17.446666666666665,0.5333333333333333,0.006333333333333333,0.0036666666666666666,59.46666666666667,4.512,55.84,68.22233333333334,0.662,1.6586666666666667,15.399999999999999,4.5
O-S,77.63333333333334,101.36666666666666,23.73333333333333,0.07166666666666667,8.297333333333334,65.87,9.96,0.5166666666666666,0.008666666666666666,0.0023333333333333335,37.846666666666664,5.426,50.593333333333334,143.43333333333334,1.043,3.375,10.25,5.75
OPP-E,5.166666666666666,39.93333333333333,34.766666666666666,0.06266666666666666,7.618666666666666,8.676666666666666,3.4566666666666666,0.27666666666666667,0.03333333333333333,0.029666666666666668,88.35,6.449,24.316666666666666,273.3333333333333,1.6843333333333332,28.818333333333335,526.4,5
OPP-W,1.8333333333333335,15.133333333333333,13.3,0.04666666666666667,5.17,36.04,5.8966666666666665,0.26,0.033666666666666664,0.026000000000000002,78.92,5.2940000000000005,25.5,543,11.697000000000001,46.69033333333333,416.4,5.5
UM-ARB,9.700000000000001,18.233333333333334,8.533333333333331,0.04366666666666667,4.453666666666667,149.51,19.626666666666665,0.5,0.008333333333333333,0.004666666666666667,59.873333333333335,3.738,73.38666666666667,1036.4443333333334,149.32233333333335,7.437333333333333,10.25,8.5
