pond,date,N_Number,chloride_mgL,sulfate_mgL,,,,,
OPP-E,6/2/21,1,7.44,4.38,,,,,
OPP-W,6/2/21,2,58.29,14.68,,,,,
DOBA7,6/2/21,3,120.37,6.69,,,,,
LM-ARB,6/3/21,4,176.26,6.19,,,,,
UM-ARB,6/3/21,5,172.14,6.83,,,,,
DOBA5,6/7/21,6,74.04,3.46,,,,,
DOBA4,6/7/21,7,53.71,2.53,,,,,
CAP,6/7/21,8,53.69,3.07,,,,,
ALC,6/8/21,9,361.46,1.99,,,,,
ELV,6/8/21,10,127.73,5.27,,,,,
DCSW1,6/9/21,11,41.9,4.61,,,,,
DCSW2,6/9/21,12,75.75,14.35,,,,,
DCSW3,6/9/21,13,81.88,13.59,,,,,
DOBA8,6/10/21,14,49.86,2.74,,,,,
MDT,6/10/21,15,63.5,2.86,,,,,
HP-UW,6/10/21,16,272.9,36.59,,,,,
L60-UW,6/11/21,17,295.84,1.91,,,,,
KP,6/11/21,18,21.47,1.22,,,,,
O-S,6/11/21,19,97.65,13.43,,,,,
O-N,6/11/21,20,85.47,18.76,,,,,
OPP-E,6/14/21,21,8.29,3.9,,,,,
OPP-W,6/14/21,22,65.18,5.29,,,,,
DOBA7,6/14/21,23,142.71,7.49,,,,,
ALC,6/15/21,24,386.05,1.83,,,,,
LM-ARB,6/15/21,25,189.04,4.55,,,,,
UM-ARB,6/15/21,26,187.96,5.8,,,,,
DOBA5,6/16/21,27,71.95,3.74,,,,,
CAP,6/16/21,28,59.7,2.62,,,,,
DOBA4,6/16/21,29,61.42,2.6,,,,,
DOBA8,6/17/21,30,51.11,2.84,,,,,
MDT,6/17/21,31,70.13,2.51,,,,,
ELV,6/17/21,32,130.68,5.27,,,,,
L60-UW,6/18/21,33,39.75,5.25,,,,,
HP-UW,6/18/21,34,67.36,9.86,,,,,
DCSW3,6/21/21,35,52.33,8.23,,,,,
DCSW2,6/21/21,36,44.39,7.31,,,,,
DCSW1,6/21/21,37,24.08,3.22,,,,,
O-N,6/22/21,38,49.46,11.55,,,,,
O-S,6/22/21,39,62.53,10.15,,,,,
KP,6/22/21,40,20.77,0.87,,,,,
OPP-W,6/29/21,41,10.47,1.96,,,,,
OPP-E,6/29/21,42,11.3,7.1,,,,,
DOBA7,6/29/21,43,34.51,3.69,,,,,
HP-UW,6/29/21,44,62.5,8.52,,,,,
DOBA8,6/30/21,45,10.22,1.71,,,,,
ELV,6/30/21,46,48.42,2.54,,,,,
MDT,6/30/21,47,15.47,1.83,,,,,
UM-ARB,6/30/21,48,55.64,2.7,,,,,
LM-ARB,6/30/21,49,55.9,2.98,,,,,
DCSW2,7/1/21,50,27.48,5.05,,,,,
DCSW1,7/1/21,51,28.72,4.86,,,,,
CAP,7/1/21,52,7.16,1.54,,,,,
DOBA4,7/1/21,53,10.71,1.4,,,,,
