sample_id,vol,chla,chlb,chla_correct_ugl,phaeophytin,flag_turb,pre_max,post_max,file
ALC_210608,0.3,13.4,5.8,13.5,3.9,,,,22020r1.csv
BLA,3,0,-0.1,0,0,,,,22020r1.csv
CAP_210607,0.5,14.9,7.2,15.7,3.6,,,,22020r1.csv
ELV_210608,0.3,20.1,7.6,23,1,,,,22020r1.csv
HP_210610,0.3,29,16.7,34.2,2.7,k,,,22020r1.csv
KP_210611,0.1,48.8,29.8,46.8,21.6,k,,,22020r1.csv
L60_210611,0.2,6.3,3.6,7.1,1.3,,,,22020r1.csv
LM-ARB_210603,0.1,91.1,35.7,103.6,6.2,k,,,22020r1.csv
MDT_210610,0.4,9.2,3.2,9.1,2.5,k,,,22020r1.csv
O-S_210611,0.2,17.7,11.3,13.4,13.8,k,,,22020r1.csv
UM-ARB_210603,0.1,127,34.1,141.9,4.8,,,,22020r1.csv
ALC_210608,0.3,13.4,5.8,13.5,3.9,,,,22020r1.csv
BLA,3,0,-0.1,0,0,,,,22020r1.csv
CAP_210607,0.5,14.9,7.2,15.7,3.6,,,,22020r1.csv
ELV_210608,0.3,20.1,7.6,23,1,,,,22020r1.csv
HP_210610,0.3,29,16.7,34.2,2.7,k,,,22020r1.csv
KP_210611,0.1,48.8,29.8,46.8,21.6,k,,,22020r1.csv
L60_210611,0.2,6.3,3.6,7.1,1.3,,,,22020r1.csv
LM-ARB_210603,0.1,91.1,35.7,103.6,6.2,k,,,22020r1.csv
MDT_210610,0.4,9.2,3.2,9.1,2.5,k,,,22020r1.csv
O-S_210611,0.2,17.7,11.3,13.4,13.8,k,,,22020r1.csv
UM-ARB_210603,0.1,127,34.1,141.9,4.8,,,,22020r1.csv
ALC_210608,0.3,13.4,5.8,13.5,3.9,,,,22020r1.csv
BLA,3,0,-0.1,0,0,,,,22020r1.csv
CAP_210607,0.5,14.9,7.2,15.7,3.6,,,,22020r1.csv
ELV_210608,0.3,20.1,7.6,23,1,,,,22020r1.csv
HP_210610,0.3,29,16.7,34.2,2.7,k,,,22020r1.csv
KP_210611,0.1,48.8,29.8,46.8,21.6,k,,,22020r1.csv
L60_210611,0.2,6.3,3.6,7.1,1.3,,,,22020r1.csv
LM-ARB_210603,0.1,91.1,35.7,103.6,6.2,k,,,22020r1.csv
MDT_210610,0.4,9.2,3.2,9.1,2.5,k,,,22020r1.csv
O-S_210611,0.2,17.7,11.3,13.4,13.8,k,,,22020r1.csv
UM-ARB_210603,0.1,127,34.1,141.9,4.8,,,,22020r1.csv
ALC_210608,0.3,13.4,5.8,13.5,3.9,,,,22020r1.csv
BLA,3,0,-0.1,0,0,,,,22020r1.csv
CAP_210607,0.5,14.9,7.2,15.7,3.6,,,,22020r1.csv
ELV_210608,0.3,20.1,7.6,23,1,,,,22020r1.csv
HP_210610,0.3,29,16.7,34.2,2.7,k,,,22020r1.csv
KP_210611,0.1,48.8,29.8,46.8,21.6,k,,,22020r1.csv
L60_210611,0.2,6.3,3.6,7.1,1.3,,,,22020r1.csv
LM-ARB_210603,0.1,91.1,35.7,103.6,6.2,k,,,22020r1.csv
MDT_210610,0.4,9.2,3.2,9.1,2.5,k,,,22020r1.csv
O-S_210611,0.2,17.7,11.3,13.4,13.8,k,,,22020r1.csv
UM-ARB_210603,0.1,127,34.1,141.9,4.8,,,,22020r1.csv
ALC_210608,0.3,13.4,5.8,13.5,3.9,,,,22020r1.csv
BLA,3,0,-0.1,0,0,,,,22020r1.csv
CAP_210607,0.5,14.9,7.2,15.7,3.6,,,,22020r1.csv
ELV_210608,0.3,20.1,7.6,23,1,,,,22020r1.csv
HP_210610,0.3,29,16.7,34.2,2.7,k,,,22020r1.csv
KP_210611,0.1,48.8,29.8,46.8,21.6,k,,,22020r1.csv
L60_210611,0.2,6.3,3.6,7.1,1.3,,,,22020r1.csv
LM-ARB_210603,0.1,91.1,35.7,103.6,6.2,k,,,22020r1.csv
MDT_210610,0.4,9.2,3.2,9.1,2.5,k,,,22020r1.csv
O-S_210611,0.2,17.7,11.3,13.4,13.8,k,,,22020r1.csv
UM-ARB_210603,0.1,127,34.1,141.9,4.8,,,,22020r1.csv
ALC_210608,0.3,13.4,5.8,13.5,3.9,,,,22020r1.csv
BLA,3,0,-0.1,0,0,,,,22020r1.csv
CAP_210607,0.5,14.9,7.2,15.7,3.6,,,,22020r1.csv
ELV_210608,0.3,20.1,7.6,23,1,,,,22020r1.csv
HP_210610,0.3,29,16.7,34.2,2.7,k,,,22020r1.csv
KP_210611,0.1,48.8,29.8,46.8,21.6,k,,,22020r1.csv
L60_210611,0.2,6.3,3.6,7.1,1.3,,,,22020r1.csv
LM-ARB_210603,0.1,91.1,35.7,103.6,6.2,k,,,22020r1.csv
MDT_210610,0.4,9.2,3.2,9.1,2.5,k,,,22020r1.csv
O-S_210611,0.2,17.7,11.3,13.4,13.8,k,,,22020r1.csv
