"sample_id","vol","chla","chlb","chla_correct_ugl","phaeophytin","flag_turb","pre_max","post_max","file"
"BLA",3,0,0,-0.1,0.1,"",,,"22030r1.csv"
"DOBA7_210712",0.1,88.8,37.1,83.2,34.9,"",,,"22030r1.csv"
"KP_210714",0.063,269.8,64.8,125,282.1,"k",,,"22030r1.csv"
"L60_210713",0.1,223.3,52.5,198,82,"k",,,"22030r1.csv"
"LM-ARB_210713",0.1,157.2,61.5,164.5,33.3,"k",,,"22030r1.csv"
"O-N_210714",0.1,35.2,3.8,12.3,41.4,"k",,,"22030r1.csv"
"O-S_210714",0.2,7.1,6.1,8.5,1.2,"k",,,"22030r1.csv"
"OPP-E_210712",0.1,191.1,79.5,193.9,52,"k",,,"22030r1.csv"
"OPP-W_210712",0.057,488.8,204.6,430.7,236.7,"k",,,"22030r1.csv"
"UM-ARB_210713",0.1,137.3,54.4,132.2,47.3,"k",,,"22030r1.csv"
"BLA",3,0,0,0.2,-0.3,"",,,"22030r2.csv"
"CAP_210716",0.2,10,6.4,13.7,-1.7,"k",,,"22030r2.csv"
"DCSW1_210719",0.4,5.9,3.4,2.5,7.6,"k",,,"22030r2.csv"
"DCSW2_210719",0.3,44.7,16.3,44.4,12.3,"",,,"22030r2.csv"
"DCSW3_210719",0.4,11.7,5.7,11,4.9,"k",,,"22030r2.csv"
"DOBA4_210716",0.1,102,43.8,68.7,82.3,"k",,,"22030r2.csv"
"DOBA5_210716",0.2,161.2,54.6,171,26.6,"",,,"22030r2.csv"
"DOBA8_210720",0.1,28.8,13.8,19.3,23.9,"k",,,"22030r2.csv"
"ELV_210720",0.2,23.8,11.1,22.5,9.6,"k",,,"22030r2.csv"
"MDT_210720",0.2,36,11.1,47.4,-9,"k",,,"22030r2.csv"
"BLA",3,0,0,-0.1,0.1,"",,,"22030r1.csv"
"DOBA7_210712",0.1,88.8,37.1,83.2,34.9,"",,,"22030r1.csv"
"KP_210714",0.063,269.8,64.8,125,282.1,"k",,,"22030r1.csv"
"L60_210713",0.1,223.3,52.5,198,82,"k",,,"22030r1.csv"
"LM-ARB_210713",0.1,157.2,61.5,164.5,33.3,"k",,,"22030r1.csv"
"O-N_210714",0.1,35.2,3.8,12.3,41.4,"k",,,"22030r1.csv"
"O-S_210714",0.2,7.1,6.1,8.5,1.2,"k",,,"22030r1.csv"
"OPP-E_210712",0.1,191.1,79.5,193.9,52,"k",,,"22030r1.csv"
"OPP-W_210712",0.057,488.8,204.6,430.7,236.7,"k",,,"22030r1.csv"
"UM-ARB_210713",0.1,137.3,54.4,132.2,47.3,"k",,,"22030r1.csv"
"BLA",3,0,0,0.2,-0.3,"",,,"22030r2.csv"
"CAP_210716",0.2,10,6.4,13.7,-1.7,"k",,,"22030r2.csv"
"DCSW1_210719",0.4,5.9,3.4,2.5,7.6,"k",,,"22030r2.csv"
"DCSW2_210719",0.3,44.7,16.3,44.4,12.3,"",,,"22030r2.csv"
"DCSW3_210719",0.4,11.7,5.7,11,4.9,"k",,,"22030r2.csv"
"DOBA4_210716",0.1,102,43.8,68.7,82.3,"k",,,"22030r2.csv"
"DOBA5_210716",0.2,161.2,54.6,171,26.6,"",,,"22030r2.csv"
"DOBA8_210720",0.1,28.8,13.8,19.3,23.9,"k",,,"22030r2.csv"
"ELV_210720",0.2,23.8,11.1,22.5,9.6,"k",,,"22030r2.csv"
"MDT_210720",0.2,36,11.1,47.4,-9,"k",,,"22030r2.csv"
"ALC_210721",0.1,40.2,17.4,37.9,16.2,"k",,,"22030r3.csv"
"BLA",3,0,-0.1,-0.2,0.1,"",,,"22030r3.csv"
"DOBA7_210727",0.1,113.2,32.7,125.2,7.9,"k",,,"22030r3.csv"
"DOBA8_210726",0.1,40.6,14.3,47.9,-0.7,"k",,,"22030r3.csv"
"ELV_210726",0.2,28.4,12.5,32.3,2.5,"k",,,"22030r3.csv"
"HP_210721",0.3,14.6,7.8,20.4,-3.9,"",,,"22030r3.csv"
"HP_210726",0.2,12.1,6.8,3.7,17.5,"k",,,"22030r3.csv"
"KP_210727",0.1,63.3,26.2,47.9,42.8,"k",,,"22030r3.csv"
"L60_210726",0.1,45,3.7,41.2,10.4,"k",,,"22030r3.csv"
"MDT_210726",0.1,25.4,18,23,15.7,"k",,,"22030r3.csv"
"ALC_210727",0.1,40,21.7,34.5,22.7,"k",,,"22030r4.csv"
"BLA",3,0,0,0.2,-0.4,"",,,"22030r4.csv"
"CAP_210729",0.1,14.8,8.6,11.5,10.7,"k",,,"22030r4.csv"
"DCSW1_210729",0.3,13.4,7.5,14.9,2.6,"k",,,"22030r4.csv"
"DCSW2_210729",0.1,71.1,36.7,70.9,24.1,"",,,"22030r4.csv"
"DCSW3_210729",0.3,11.3,7.4,9.4,7.6,"",,,"22030r4.csv"
"DOBA4_210729",0.1,137.3,74.2,166.4,3.7,"k",,,"22030r4.csv"
