pond,date,depth,dissolvedCO2_microMolar,dissolvedCH4_microMolar,dissolvedN2O_microMolar,season,flags
DOBA7,2021-06-02,Surface,0,0.502,0.0122,summer,below CO2 detection
DOBA7,2021-06-02,Surface,0,0.615,0.012100000000000001,summer,below CO2 detection
DOBA7,2021-06-02,Surface,0,0.5579999999999999,0.0108,summer,below CO2 detection
OPP-E,2021-06-02,Surface,0,1.88,0.011300000000000001,summer,below CO2 detection
OPP-E,2021-06-02,Surface,0,1.66,0.012100000000000001,summer,below CO2 detection
OPP-E,2021-06-02,Surface,0,1.44,0.012,summer,below CO2 detection
OPP-W,2021-06-02,Surface,0,1.7999999999999998,0.0136,summer,below CO2 detection
OPP-W,2021-06-02,Surface,0.657,1.81,0.0135,summer,
OPP-W,2021-06-02,Surface,0,1.04,0.0144,summer,below CO2 detection
LM-ARB,2021-06-03,Surface,92,1.9700000000000002,0.0147,summer,
LM-ARB,2021-06-03,Surface,70.8,1.88,0.0116,summer,
LM-ARB,2021-06-03,Surface,80.5,2.2800000000000002,0.012,summer,
UM-ARB,2021-06-03,Surface,113,5.05,0.0185,summer,
UM-ARB,2021-06-03,Surface,102,4.81,0.015799999999999998,summer,
UM-ARB,2021-06-03,Surface,94.6,4.68,0.018699999999999998,summer,
CAP,2021-06-07,Surface,129,7.01,0.00487,summer,
CAP,2021-06-07,Surface,121,5.95,0.00504,summer,
CAP,2021-06-07,Surface,115,5.39,0.00528,summer,
DOBA4,2021-06-07,Surface,6.9,0.6689999999999999,0.008150000000000001,summer,
DOBA4,2021-06-07,Surface,6.74,0.606,0.00814,summer,
DOBA4,2021-06-07,Surface,4.9799999999999995,0.751,0.008029999999999999,summer,
DOBA5,2021-06-07,Surface,26,1.87,0.00941,summer,
DOBA5,2021-06-07,Surface,29.3,2.1399999999999997,0.00973,summer,
DOBA5,2021-06-07,Surface,30.599999999999998,2.9299999999999997,0.00973,summer,
ALC,2021-06-08,Surface,0,5.84,0.0052499999999999995,summer,below CO2 detection
ALC,2021-06-08,Surface,0,4.12,0.00581,summer,below CO2 detection
ALC,2021-06-08,Surface,0,4.53,0.00584,summer,below CO2 detection
ELV,2021-06-08,Surface,4.279999999999999,0.442,0.008830000000000001,summer,
ELV,2021-06-08,Surface,5.12,0.26899999999999996,0.0089,summer,
ELV,2021-06-08,Surface,6.89,0.19899999999999998,0.00887,summer,
DCSW1,2021-06-09,Surface,0,0.48100000000000004,0.0138,summer,below CO2 detection
DCSW1,2021-06-09,Surface,0,0.5740000000000001,0.0144,summer,below CO2 detection
DCSW1,2021-06-09,Surface,0,0.62,0.015099999999999999,summer,below CO2 detection
DCSW2,2021-06-09,Surface,0,0.745,0.0162,summer,below CO2 detection
DCSW2,2021-06-09,Surface,0,0.7929999999999999,0.017599999999999998,summer,below CO2 detection
DCSW2,2021-06-09,Surface,0,0.83,0.0202,summer,below CO2 detection
DCSW3,2021-06-09,Surface,0.26399999999999996,0.375,0.0107,summer,
DCSW3,2021-06-09,Surface,0,0.526,0.0112,summer,below CO2 detection
DCSW3,2021-06-09,Surface,0,0.619,0.0115,summer,below CO2 detection
DOBA8,2021-06-10,Surface,63.4,1.06,0.00689,summer,
DOBA8,2021-06-10,Surface,71.1,1.35,0.006699999999999999,summer,
DOBA8,2021-06-10,Surface,78.2,1.56,0.0063300000000000006,summer,
HP-UW,2021-06-10,Surface,64.5,1.8199999999999998,0.032299999999999995,summer,
HP-UW,2021-06-10,Surface,67.39999999999999,2.05,0.034,summer,
HP-UW,2021-06-10,Surface,80.9,2.5500000000000003,0.038000000000000006,summer,
MDT,2021-06-10,Surface,0,1.01,0.00705,summer,below CO2 detection
MDT,2021-06-10,Surface,0.0050799999999999994,0.9199999999999999,0.0071200000000000005,summer,
MDT,2021-06-10,Surface,0,0.9680000000000001,0.00674,summer,below CO2 detection
KP,2021-06-11,Surface,578,45,0.00363,summer,
KP,2021-06-11,Surface,628,53.1,0.0033,summer,
KP,2021-06-11,Surface,720,74.1,0.00135,summer,
L60-UW,2021-06-11,Surface,29.7,14.2,0.00476,summer,
L60-UW,2021-06-11,Surface,12.2,23.8,0.0033,summer,
L60-UW,2021-06-11,Surface,21,19,0.004030000000000001,summer,
O-N,2021-06-11,Surface,17.900000000000002,0.28900000000000003,0.0116,summer,
O-N,2021-06-11,Surface,16.7,0.30400000000000005,0.012299999999999998,summer,
O-N,2021-06-11,Surface,16.4,0.364,0.013399999999999999,summer,
O-S,2021-06-11,Surface,23.4,0.7010000000000001,0.007010000000000001,summer,
O-S,2021-06-11,Surface,20.9,0.6010000000000001,0.00719,summer,
