pond,date,depth,dissolvedCO2,dissolvedCH4,dissolvedN2O
HP-UW,2022-01-12,Surface,0.000109,3.66E-06,8.96E-08
HP-UW,2022-01-12,Surface,8.64E-05,2.32E-06,6.77E-08
HP-UW,2022-01-12,Surface,0.000113,3.62E-06,9.28E-08
LM-ARB,2022-01-12,Surface,0.000524,5.28E-06,3.40E-08
LM-ARB,2022-01-12,Surface,0.000434,2.71E-06,3.59E-08
LM-ARB,2022-01-12,Surface,0.000282,1.25E-06,3.32E-08
UM-ARB,2022-01-12,Surface,0.000884,8.74E-05,1.39E-07
UM-ARB,2022-01-12,Surface,0.000867,9.67E-05,1.17E-07
UM-ARB,2022-01-12,Surface,0.000877,9.98E-05,1.09E-07
OPP-E,2022-01-12,Surface,0.000159,3.78E-07,2.14E-08
OPP-E,2022-01-12,Surface,0.000148,2.56E-07,2.10E-08
OPP-E,2022-01-12,Surface,0.00014,2.66E-07,2.08E-08
OPP-W,2022-01-12,Surface,0.000431,8.96E-07,1.24E-07
OPP-W,2022-01-12,Surface,0.000416,8.85E-07,1.21E-07
OPP-W,2022-01-12,Surface,0.000394,1.19E-06,1.32E-07
L60-UW,2022-01-13,Surface,0.000382,1.57E-05,1.06E-08
L60-UW,2022-01-13,Surface,0.000389,1.70E-05,1.05E-08
L60-UW,2022-01-13,Surface,0.000387,1.54E-05,1.06E-08
ALC,2022-01-13,Surface,0.000203,1.13E-05,1.92E-08
ALC,2022-01-13,Surface,2.00E-04,1.11E-05,1.94E-08
ALC,2022-01-13,Surface,0.000195,1.05E-05,1.90E-08
DCSW1,2022-01-13,Surface,5.10E-05,1.64E-06,2.21E-08
DCSW1,2022-01-13,Surface,5.28E-05,1.64E-06,2.24E-08
DCSW1,2022-01-13,Surface,5.21E-05,1.73E-06,2.21E-08
DCSW2,2022-01-13,Surface,4.30E-05,8.96E-06,3.55E-08
DCSW2,2022-01-13,Surface,4.35E-05,8.61E-06,3.56E-08
DCSW2,2022-01-13,Surface,4.46E-05,9.29E-06,3.35E-08
DCSW3,2022-01-13,Surface,1.46E-05,6.84E-07,2.30E-08
DCSW3,2022-01-13,Surface,1.09E-05,8.41E-07,2.17E-08
DCSW3,2022-01-13,Surface,1.70E-05,6.71E-07,2.28E-08
CAP,2022-01-13,Surface,0.000229,3.48E-06,3.72E-09
CAP,2022-01-13,Surface,0.000235,2.68E-06,3.78E-09
CAP,2022-01-13,Surface,0.000222,4.27E-06,3.67E-09
DOBA5,2022-01-13,Surface,2.97E-06,4.21E-06,2.06E-08
DOBA5,2022-01-13,Surface,2.81E-07,5.80E-06,2.07E-08
DOBA5,2022-01-13,Surface,-1.28E-06,4.87E-06,2.14E-08
DOBA4,2022-01-13,Surface,1.80E-05,3.42E-06,1.34E-08
DOBA4,2022-01-13,Surface,2.48E-05,3.03E-06,1.32E-08
DOBA4,2022-01-13,Surface,2.22E-05,3.30E-06,1.32E-08
KP,2022-01-14,Surface,0.00144,0.000351,-1.81E-10
KP,2022-01-14,Surface,0.00142,0.000345,-6.24E-10
KP,2022-01-14,Surface,0.00142,0.000325,-9.30E-10
MDT,2022-01-14,Surface,5.06E-06,8.17E-07,1.83E-08
MDT,2022-01-14,Surface,6.59E-06,3.41E-07,1.84E-08
MDT,2022-01-14,Surface,2.57E-06,2.36E-07,1.79E-08
ELV,2022-01-14,Surface,1.31E-05,1.69E-06,3.02E-08
ELV,2022-01-14,Surface,1.18E-05,2.11E-06,3.05E-08
ELV,2022-01-14,Surface,1.25E-05,1.90E-06,2.99E-08
O-N,2022-01-14,Surface,8.89E-05,1.79E-07,1.88E-07
O-N,2022-01-14,Surface,9.08E-05,4.02E-07,1.75E-07
O-N,2022-01-14,Surface,9.39E-05,4.75E-07,1.72E-07
O-S,2022-01-14,Surface,6.91E-05,1.42E-06,4.10E-08
