pond,date,depth,dissolvedCO2,dissolvedCH4,dissolvedN2O
DOBA7,2021-06-02,Surface,-1.10E-06,5.02E-07,1.22E-08
DOBA7,2021-06-02,Surface,-1.02E-06,6.15E-07,1.21E-08
DOBA7,2021-06-02,Surface,-1.06E-06,5.58E-07,1.08E-08
OPP-E,2021-06-02,Surface,-1.17E-06,1.88E-06,1.13E-08
OPP-E,2021-06-02,Surface,-3.23E-06,1.66E-06,1.21E-08
OPP-E,2021-06-02,Surface,-2.65E-06,1.44E-06,1.20E-08
OPP-W,2021-06-02,Surface,-6.71E-07,1.80E-06,1.36E-08
OPP-W,2021-06-02,Surface,6.57E-07,1.81E-06,1.35E-08
OPP-W,2021-06-02,Surface,-1.74E-06,1.04E-06,1.44E-08
LM-ARB,2021-06-03,Surface,9.20E-05,1.97E-06,1.47E-08
LM-ARB,2021-06-03,Surface,7.08E-05,1.88E-06,1.16E-08
LM-ARB,2021-06-03,Surface,8.05E-05,2.28E-06,1.20E-08
UM-ARB,2021-06-03,Surface,0.000113,5.05E-06,1.85E-08
UM-ARB,2021-06-03,Surface,0.000102,4.81E-06,1.58E-08
UM-ARB,2021-06-03,Surface,9.46E-05,4.68E-06,1.87E-08
CAP,2021-06-07,Surface,0.000129,7.01E-06,4.87E-09
CAP,2021-06-07,Surface,0.000121,5.95E-06,5.04E-09
CAP,2021-06-07,Surface,0.000115,5.39E-06,5.28E-09
DOBA4,2021-06-07,Surface,6.90E-06,6.69E-07,8.15E-09
DOBA4,2021-06-07,Surface,6.74E-06,6.06E-07,8.14E-09
DOBA4,2021-06-07,Surface,4.98E-06,7.51E-07,8.03E-09
DOBA5,2021-06-07,Surface,2.60E-05,1.87E-06,9.41E-09
DOBA5,2021-06-07,Surface,2.93E-05,2.14E-06,9.73E-09
DOBA5,2021-06-07,Surface,3.06E-05,2.93E-06,9.73E-09
ALC,2021-06-08,Surface,-2.69E-07,5.84E-06,5.25E-09
ALC,2021-06-08,Surface,-8.62E-07,4.12E-06,5.81E-09
ALC,2021-06-08,Surface,-8.17E-07,4.53E-06,5.84E-09
ELV,2021-06-08,Surface,4.28E-06,4.42E-07,8.83E-09
ELV,2021-06-08,Surface,5.12E-06,2.69E-07,8.90E-09
ELV,2021-06-08,Surface,6.89E-06,1.99E-07,8.87E-09
DCSW1,2021-06-09,Surface,-1.33E-06,4.81E-07,1.38E-08
DCSW1,2021-06-09,Surface,-3.32E-06,5.74E-07,1.44E-08
DCSW1,2021-06-09,Surface,-1.39E-06,6.20E-07,1.51E-08
DCSW2,2021-06-09,Surface,-1.45E-06,7.45E-07,1.62E-08
DCSW2,2021-06-09,Surface,-1.71E-06,7.93E-07,1.76E-08
DCSW2,2021-06-09,Surface,-2.61E-06,8.30E-07,2.02E-08
DCSW3,2021-06-09,Surface,2.64E-07,3.75E-07,1.07E-08
DCSW3,2021-06-09,Surface,-2.07E-06,5.26E-07,1.12E-08
DCSW3,2021-06-09,Surface,-6.54E-07,6.19E-07,1.15E-08
DOBA8,2021-06-10,Surface,6.34E-05,1.06E-06,6.89E-09
DOBA8,2021-06-10,Surface,7.11E-05,1.35E-06,6.70E-09
DOBA8,2021-06-10,Surface,7.82E-05,1.56E-06,6.33E-09
HP-UW,2021-06-10,Surface,6.45E-05,1.82E-06,3.23E-08
HP-UW,2021-06-10,Surface,6.74E-05,2.05E-06,3.40E-08
HP-UW,2021-06-10,Surface,8.09E-05,2.55E-06,3.80E-08
MDT,2021-06-10,Surface,-5.60E-07,1.01E-06,7.05E-09
MDT,2021-06-10,Surface,5.08E-09,9.20E-07,7.12E-09
MDT,2021-06-10,Surface,-2.77E-07,9.68E-07,6.74E-09
KP,2021-06-11,Surface,0.000578,4.50E-05,3.63E-09
KP,2021-06-11,Surface,0.000628,5.31E-05,3.30E-09
KP,2021-06-11,Surface,0.00072,7.41E-05,1.35E-09
L60-UW,2021-06-11,Surface,2.97E-05,1.42E-05,4.76E-09
L60-UW,2021-06-11,Surface,1.22E-05,2.38E-05,3.30E-09
L60-UW,2021-06-11,Surface,2.10E-05,1.90E-05,4.03E-09
O-N,2021-06-11,Surface,1.79E-05,2.89E-07,1.16E-08
O-N,2021-06-11,Surface,1.67E-05,3.04E-07,1.23E-08
O-N,2021-06-11,Surface,1.64E-05,3.64E-07,1.34E-08
O-S,2021-06-11,Surface,2.34E-05,7.01E-07,7.01E-09
O-S,2021-06-11,Surface,2.09E-05,6.01E-07,7.19E-09
O-S,2021-06-11,Surface,2.18E-05,5.03E-07,7.05E-09
DOBA7,2021-06-14,Surface,1.09E-05,1.33E-06,7.52E-09
DOBA7,2021-06-14,Surface,1.04E-05,1.03E-06,7.69E-09
DOBA7,2021-06-14,Surface,7.34E-06,1.70E-06,6.61E-09
OPP-E,2021-06-14,Surface,3.84E-06,9.71E-07,6.58E-09
OPP-E,2021-06-14,Surface,4.01E-06,6.72E-07,6.91E-09
OPP-E,2021-06-14,Surface,3.33E-06,1.28E-06,6.27E-09
OPP-W,2021-06-14,Surface,8.20E-06,4.83E-07,7.25E-09
OPP-W,2021-06-14,Surface,1.45E-05,5.99E-07,5.95E-09
OPP-W,2021-06-14,Surface,2.07E-05,7.15E-07,6.50E-09
ALC,2021-06-15,Surface,1.24E-06,1.53E-06,8.60E-09
ALC,2021-06-15,Surface,-4.00E-07,2.38E-06,8.04E-09
ALC,2021-06-15,Surface,-2.89E-07,2.14E-06,7.97E-09
LM-ARB,2021-06-15,Surface,0.000163,2.36E-06,1.53E-08
LM-ARB,2021-06-15,Surface,0.000123,1.54E-06,1.43E-08
LM-ARB,2021-06-15,Surface,0.000146,1.98E-06,1.51E-08
UM-ARB,2021-06-15,Surface,0.000111,8.33E-07,1.48E-08
UM-ARB,2021-06-15,Surface,0.00012,1.18E-06,1.67E-08
UM-ARB,2021-06-15,Surface,0.000129,1.47E-06,1.61E-08
CAP,2021-06-16,Surface,1.04E-05,2.27E-06,5.40E-09
CAP,2021-06-16,Surface,1.17E-05,2.42E-06,5.25E-09
CAP,2021-06-16,Surface,1.37E-05,3.08E-06,5.12E-09
DOBA4,2021-06-16,Surface,2.83E-05,1.07E-06,8.35E-09
DOBA4,2021-06-16,Surface,3.01E-05,1.31E-06,8.29E-09
DOBA4,2021-06-16,Surface,3.82E-05,2.11E-06,6.79E-09
DOBA5,2021-06-16,Surface,4.26E-06,1.46E-05,8.74E-09
DOBA5,2021-06-16,Surface,4.07E-06,1.71E-05,8.42E-09
DOBA5,2021-06-16,Surface,3.47E-06,1.44E-05,8.65E-09
DOBA8,2021-06-17,Surface,4.42E-05,1.49E-06,6.33E-09
DOBA8,2021-06-17,Surface,4.69E-05,1.73E-06,6.11E-09
DOBA8,2021-06-17,Surface,5.17E-05,2.27E-06,5.51E-09
ELV,2021-06-17,Surface,4.89E-06,3.49E-07,7.62E-09
ELV,2021-06-17,Surface,1.46E-06,4.17E-07,7.79E-09
ELV,2021-06-17,Surface,3.65E-06,4.27E-07,7.45E-09
MDT,2021-06-17,Surface,1.85E-07,7.95E-07,7.35E-09
MDT,2021-06-17,Surface,-1.38E-06,9.00E-07,7.06E-09
MDT,2021-06-17,Surface,1.36E-06,7.25E-07,7.77E-09
HP-UW,2021-06-18,Surface,2.86E-05,5.88E-07,4.75E-08
HP-UW,2021-06-18,Surface,2.86E-05,7.70E-07,5.27E-08
HP-UW,2021-06-18,Surface,2.83E-05,7.00E-07,5.32E-08
L60-UW,2021-06-18,Surface,4.64E-05,6.27E-07,4.96E-08
L60-UW,2021-06-18,Surface,5.29E-05,7.14E-07,4.52E-08
L60-UW,2021-06-18,Surface,5.87E-05,1.08E-06,6.04E-08
DCSW1,2021-06-21,Surface,3.34E-06,2.60E-06,2.44E-08
DCSW1,2021-06-21,Surface,1.50E-06,2.61E-06,2.40E-08
DCSW1,2021-06-21,Surface,1.33E-06,2.96E-06,2.45E-08
DCSW2,2021-06-21,Surface,0.000103,8.48E-06,1.00E-07
DCSW2,2021-06-21,Surface,0.00012,1.33E-05,7.66E-08
DCSW2,2021-06-21,Surface,9.82E-05,8.28E-06,9.38E-08
DCSW3,2021-06-21,Surface,6.36E-05,2.02E-05,1.04E-08
DCSW3,2021-06-21,Surface,6.37E-05,1.88E-05,1.09E-08
DCSW3,2021-06-21,Surface,6.39E-05,1.75E-05,1.15E-08
KP,2021-06-22,Surface,0.000654,7.36E-05,2.02E-09
KP,2021-06-22,Surface,0.000483,4.83E-05,4.42E-09
KP,2021-06-22,Surface,0.00064,7.30E-05,2.03E-09
O-N,2021-06-22,Surface,6.77E-05,3.24E-07,2.01E-08
O-N,2021-06-22,Surface,6.97E-05,3.57E-07,2.11E-08
O-N,2021-06-22,Surface,6.91E-05,7.26E-07,2.07E-08
O-S,2021-06-22,Surface,4.91E-05,4.58E-07,9.56E-09
O-S,2021-06-22,Surface,5.34E-05,4.46E-07,9.72E-09
O-S,2021-06-22,Surface,6.16E-05,4.80E-07,9.60E-09
DOBA7,2021-07-12,Surface,1.63E-06,4.67E-07,8.23E-09
DOBA7,2021-07-12,Surface,2.55E-06,4.82E-07,8.63E-09
DOBA7,2021-07-12,Surface,1.39E-06,4.33E-07,8.46E-09
OPP-E,2021-07-12,Surface,4.39E-06,3.26E-07,8.53E-09
