pond,datetime,temp_C,            DO_mgL,DO_perc
HP-UW,           2021-07-06 14:33:00,28.887,12.424,159.946358
HP-UW,           2021-07-06 15:03:00,28.579,13.507,172.95365
HP-UW,           2021-07-06 15:33:00,28.947,12.629,162.756026
HP-UW,           2021-07-06 16:03:00,29.324,12.615,163.646918
HP-UW,           2021-07-06 16:33:00,29.41,12.979,168.620609
HP-UW,           2021-07-06 17:03:00,29.367,12.672,164.509222
HP-UW,           2021-07-06 17:33:00,29.247,13.165,170.553217
HP-UW,           2021-07-06 18:03:00,29.153,12.905,166.911556
HP-UW,           2021-07-06 18:33:00,29.05,13.552,174.965389
HP-UW,           2021-07-06 19:03:00,28.947,13.141,169.354418
HP-UW,           2021-07-06 19:33:00,28.835,12.8,164.637249
HP-UW,           2021-07-06 20:03:00,28.476,12.137,155.130406
HP-UW,           2021-07-06 20:33:00,27.564,11.562,145.418694
HP-UW,           2021-07-06 21:03:00,27.547,11.246,141.401533
HP-UW,           2021-07-06 21:33:00,27.292,11.085,138.745732
HP-UW,           2021-07-06 22:03:00,27.02,10.988,136.864765
HP-UW,           2021-07-06 22:33:00,26.969,10.832,134.798483
HP-UW,           2021-07-06 23:03:00,26.791,10.704,132.780999
HP-UW,           2021-07-06 23:33:00,26.647,10.662,131.918102
HP-UW,           2021-07-07 00:03:00,26.504,10.6,130.813661
HP-UW,           2021-07-07 00:33:00,26.343,9.477,116.61549
HP-UW,           2021-07-07 01:03:00,26.216,9.7,119.085735
HP-UW,           2021-07-07 01:33:00,26.14,8.193,100.446148
HP-UW,           2021-07-07 02:03:00,26.022,8.784,107.461638
HP-UW,           2021-07-07 02:33:00,25.938,9.179,112.122844
HP-UW,           2021-07-07 03:03:00,25.853,9.455,115.315903
HP-UW,           2021-07-07 03:33:00,25.76,9.959,121.257406
HP-UW,           2021-07-07 04:03:00,25.668,10.136,123.205751
HP-UW,           2021-07-07 04:33:00,25.592,9.91,120.291739
HP-UW,           2021-07-07 05:03:00,25.482,9.57,115.931458
HP-UW,           2021-07-07 05:33:00,25.398,9.433,114.096361
