Date,Pond,TSS_gL,POM_gL,OM_perc
2022-01-12,HP-UW,0.0031,0.002,54.84
2022-01-12,OPP-W,0.026,0.025,94.87
2022-01-12,OPP-E,0.0264,0.024,89.39
2022-01-12,UM-ARB,0.0098,0.007,71.43
2022-01-12,LM-ARB,0.0072,0.005,69.77
2022-01-13,ALC,0.0034,0.002,68.18
2022-01-13,DOBA5,0.019,0.017,90.91
2022-01-13,DOBA4,0.01,0.008,80
2022-01-13,DCSW3,0.0047,0.004,85.11
2022-01-13,DCSW1,0.0026,0.001,38.46
2022-01-13,DCSW2,0.005,0.004,88
2022-01-13,CAP,0.0102,0.01,97.83
2022-01-13,L60-UW,0.0048,0.003,57.89
2022-01-14,ELV,0.0044,0.004,86.36
2022-01-14,DOBA7,0.0066,0.006,87.1
2022-01-14,MDT,0.0117,0.011,91.18
2022-01-14,DOBA8,0.0019,0.002,93.33
2022-01-14,O-S,0.0024,0.002,70.83
2022-01-14,O-N,0.0057,0.005,95
2022-01-14,KP,0.0757,0.027,35.85
2022-01-27,ALC,0.01,0.009,89.47
2022-01-27,DOBA5,0.0175,0.016,89.58
2022-01-27,DOBA4,0.0294,0.028,95.74
2022-01-27,DCSW3,0.0029,0.002,51.72
2022-01-27,DCSW2,0.0106,0.01,94.34
2022-01-27,DCSW1,0.0016,0.002,93.75
2022-01-27,CAP,0.021,0.019,90.48
2022-01-30,ELV,0.0112,0.009,78.57
2022-01-30,MDT,0.0205,0.017,82.93
2022-01-30,DOBA8,0.0026,0.002,92.31
2022-01-30,O-S,0.0134,0.003,22.34
2022-01-30,O-N,0.0051,0.003,52.63
2022-01-30,KP,0.125,0.05,40
2022-01-31,OPP-W,0.035,0.024,69.39
2022-01-31,OPP-E,0.0407,0.038,93.44
2022-01-31,DOBA7,0.0082,0.008,92.68
2022-01-31,HP-UW,0.0022,0.001,40.91
2022-01-31,L60-UW,0.018,0.011,59.09
2022-01-31,UM-ARB,0.0076,0.004,56.67
2022-01-31,LM-ARB,0.0065,0.006,92.31
2022-02-09,ALC,0.0414,0.021,51.72
2022-02-09,DCSW1,0.001,0,40
2022-02-09,DCSW3,0.0041,0.002,46.34
2022-02-09,DCSW2,0.0025,0.002,80
2022-02-09,DOBA4,0.07,0.056,80
2022-02-09,DOBA5,0.0203,0.018,90.16
2022-02-09,CAP,0.0321,0.027,84.62
2022-02-09,HP-UW,0.0019,0.001,73.33
2022-02-09,L60-UW,0.0314,0.023,74.55
2022-02-10,O-S,0.0108,0.002,20.37
2022-02-10,O-N,0.0081,0.003,30.77
2022-02-10,DOBA8,0.0032,0.003,86.96
2022-02-10,MDT,0.0184,0.016,85.96
2022-02-10,ELV,0.0068,0.005,71.43
2022-02-10,KP,0.2406,0.081,33.77
2022-02-11,DOBA7,0.005,0.004,76
2022-02-11,OPP-E,0.0333,0.027,82.22
2022-02-11,OPP-W,0.04,0.029,72.5
2022-02-11,UM-ARB,0.0066,0.003,51.52
2022-02-11,LM-ARB,0.0109,0.005,45.45
